RMS Level;;;
Ch1;;Ch2;
X;Y;X;Y
Hz;dBSPL;Hz1;dBSPL1
20;86,15783645;20;92,27447523
21,11796389;90,01803427;21,11796389;89,70829977
22,29841994;91,3190413;22,29841994;89,93759674
23,54486135;88,67192137;23,54486135;89,3518192
24,86097659;91,76880813;24,86097659;88,18928581
26,25066029;91,5629308;26,25066029;88,11017225
27,71802481;93,570996;27,71802481;92,94283251
29,26741235;89,20339043;29,26741235;91,27309916
30,90340785;92,05508914;30,90340785;92,58554912
32,63085255;91,69947808;32,63085255;91,67689386
34,4548583;98,13629711;34,4548583;93,08345287
36,38082266;87,30911047;36,38082266;91,52047906
38,41444496;92,36544771;38,41444496;92,89706476
40,56174308;89,46258753;40,56174308;93,64517071
42,82907128;92,93739063;42,82907128;91,84147372
45,22313903;93,97586761;45,22313903;92,35524827
47,75103085;95,32583756;47,75103085;96,44883846
50,42022726;96,67164322;50,42022726;95,30794433
53,23862692;92,85174066;53,23862692;91,0219555
56,21457004;96,09844139;56,21457004;97,25645032
59,35686301;94,08045406;59,35686301;94,36038876
62,67480448;92,56574784;62,67480448;97,68324188
66,17821288;98,09274651;66,17821288;96,10942911
69,87745549;96,14495368;69,87745549;95,58312372
73,78347909;95,76540705;73,78347909;93,31954377
77,90784235;96,54309536;77,90784235;95,09498204
82,26275007;94,84639131;82,26275007;100,1840395
86,86108927;91,71299466;86,86108927;96,43544087
91,71646732;93,23274645;91,71646732;96,73000821
96,84325225;97,86575446;96,84325225;101,2347393
102,2566152;97,09898628;102,2566152;96,65360352
107,9725753;97,88930811;107,9725753;96,20139922
114,0080474;102,7743504;114,0080474;95,63377614
120,3808914;98,92443227;120,3808914;95,72629049
127,1099658;95,22049536;127,1099658;100,3735531
134,2151834;96,71497522;134,2151834;96,15269589
141,7175698;97,15766002;141,7175698;99,45581375
149,6393261;98,87229373;149,6393261;100,0820217
158,0038942;95,45803723;158,0038942;100,3612671
166,8360267;101,8888215;166,8360267;100,1028675
176,1618593;97,3259368;176,1618593;99,6338057
186,0089892;99,49812628;186,0089892;96,69741188
196,4065558;100,4833033;196,4065558;96,73262055
207,3853277;99,79318321;207,3853277;103,8189319
218,977793;100,6410708;218,977793;96,67106587
231,2182563;102,4610476;231,2182563;102,3229844
244,1429393;99,77586297;244,1429393;99,95689043
257,7900888;98,88871997;257,7900888;97,58341574
272,2000893;101,90281;272,2000893;102,1035685
287,4155828;103,0748813;287,4155828;97,60266561
303,481595;104,0242714;303,481595;102,1750737
320,4456682;102,5052908;320,4456682;102,2701731
338,3580024;104,8511092;338,3580024;101,5525674
357,2716038;103,2444135;357,2716038;103,2917563
377,2424414;102,2603614;377,2424414;102,927172
398,3296128;104,949226;398,3296128;101,9058732
420,5955189;98,90520281;420,5955189;104,2870457
444,106049;103,5865661;444,106049;105,6107132
468,9307753;107,1315714;468,9307753;102,4693169
495,1431589;105,1804377;495,1431589;103,0341268
522,8207675;103,1562771;522,8207675;102,8698166
552,0455044;105,6271907;552,0455044;105,2268649
582,9038514;104,801217;582,9038514;105,1279598
615,4871242;107,0881037;615,4871242;102,9628071
649,8917431;103,6854502;649,8917431;107,6536743
686,2195181;102,588446;686,2195181;103,2669073
724,5779502;99,01042978;724,5779502;105,8888517
765,0805493;104,4977531;765,0805493;105,9327454
807,8471706;103,9871892;807,8471706;99,68822716
853,0043688;106,9046021;853,0043688;104,040786
900,6857729;102,5533432;900,6857729;105,7759735
951,0324814;104,9380975;951,0324814;104,5057141
1004,19348;101,4038174;1004,19348;103,2495448
1060,326082;104,8701638;1060,326082;102,5152602
1119,596396;105,5670164;1119,596396;106,2244406
1182,179813;104,1904993;1182,179813;106,847605
1248,26153;105,5191052;1248,26153;106,8658442
1318,037096;107,4791417;1318,037096;105,5363432
1391,712989;110,3647556;1391,712989;109,7445828
1469,507233;100,1653841;1469,507233;103,7043117
1551,650034;104,1808783;1551,650034;105,2798473
1638,384469;104,6450391;1638,384469;106,7736922
1729,967203;101,728055;1729,967203;102,1210413
1826,669246;107,9964649;1826,669246;104,9565734
1928,776758;102,7783001;1928,776758;102,9353114
2036,591897;108,5385587;2036,591897;104,8259976
2150,433706;106,0513008;2150,433706;104,0559495
2270,639068;102,1819182;2270,639068;109,5111266
2397,563692;103,9061438;2397,563692;105,2292694
2531,583173;107,5389843;2531,583173;107,6276842
2673,094102;106,7379157;2673,094102;102,834487
2822,515236;29,75413704;2822,515236;106,6987986
2980,288741;30,08594396;2980,288741;107,7352763
3146,881501;30,2749376;3146,881501;109,1852299
3322,786495;30,51391381;3322,786495;106,7751366
3508,52426;30,70350214;3508,52426;108,638557
3704,644431;30,93559612;3704,644431;104,970791
3911,727366;31,0693058;3911,727366;108,372437
4130,385863;31,29049275;4130,385863;108,2031911
4361,266975;31,39860476;4361,266975;108,2471063
4605,053924;31,5073865;4605,053924;108,4065862
4862,468124;31,63017493;4862,468124;107,4549744
5134,271313;31,71452347;5134,271313;106,7582645
5421,267809;31,75176153;5421,267809;107,3636049
5724,306891;31,76211492;5724,306891;104,8402727
6044,28531;31,69993944;6044,28531;108,9016284
6382,149946;31,54238136;6382,149946;106,7226703
6738,900604;31,44555382;6738,900604;107,5452091
7115,592981;31,21631234;7115,592981;108,8873137
7513,341781;30,84558019;7513,341781;107,0998051
7933,32402;30,43544847;7933,32402;108,6761202
8376,782509;29,81808152;8376,782509;105,1381587
8845,029526;29,19271176;8845,029526;108,1281189
9339,450707;28,29479063;9339,450707;106,3036484
9861,509138;27,30983804;9861,509138;107,7660804
10412,74969;26,06486447;10412,74969;108,9543407
10994,8036;25,07366749;10994,8036;107,7468159
11609,39327;24,7954373;11609,39327;104,7445811
12258,33739;25,54653812;12258,33739;108,8436738
12943,55632;27,18192496;12943,55632;107,7107688
13667,07775;28,95817851;13667,07775;106,0342083
14431,04272;30,43657056;14431,04272;110,3698498
15237,71195;31,90123552;15237,71195;109,214346
16089,47253;32,95780659;16089,47253;107,460932
16988,845;33,75748454;16988,845;105,6820265
17938,49076;34,31131317;17938,49076;107,7858637
18941,22;34,46778432;18941,22;110,3824816
20000;34,38451841;20000;107,4376027
